title,description,date,source
France Travail crea una “fuerza especial” para derivar personas desempleadas a la industria militar,La antigua Pôle Emploi firmó un convenio para incentivar a sus agentes a convertirse en reservistas y prepara un dispositivo conjunto con Defensa.,02 feb. 2026 - 08:23,https://diariosocialista.net/2026/02/02/france-travail-crea-una-fuerza-especial-para-derivar-personas-desempleadas-a-la-industria-militar/
ERE en Tubos Reunidos: hasta 520 trabajadores en riesgo en Amurrio y Trapagaran,"La siderúrgica anuncia un recorte masivo de empleo en Araba y Bizkaia, con un mínimo de 130 despidos. Los sindicatos, unidos en el rechazo, convocan huelgas ante el plan de la patronal.",02 feb. 2026 - 17:24,https://diariosocialista.net/2026/02/02/ere-en-tubos-reunidos-hasta-520-trabajadores-en-riesgo-en-amurrio-y-trapagaran/
"Protestas contra el gobierno de Trump, la violencia policial y las redadas de ICE",Estudiantes y trabajadores paralizan escuelas en todo EE.UU. para exigir la retirada de los 3.000 agentes federales desplegados en Minneapolis.,31 ene. 2026 - 08:00,https://diariosocialista.net/2026/01/31/protestas-contra-el-gobierno-de-trump-la-violencia-policial-y-las-redadas-de-ice/
"El Gobierno estadounidense publica 3 millones de páginas más del caso Epstein, con 2.000 videos y 180.000 imágenes","La última entrega masiva, que llega con retraso, incluye graves acusaciones de violación de una menor contra Donald Trump y nombres de varios hombres poderosos.",31 ene. 2026 - 08:00,https://diariosocialista.net/2026/01/31/el-gobierno-estadounidense-publica-3-millones-de-paginas-mas-del-caso-epstein-con-2-000-videos-y-180-000-imagenes/
ICE ha multiplicado por diez el presupuesto del FBI para financiar sus 'cacerías' de migrantes,"La ley 'Big Beautiful Bill' de Trump ha convertido a ICE en la agencia mejor financiada de EE.UU., con un presupuesto de 79.000 millones de dólares; las detenciones de personas de origen latinoamericano han aumentado un 600 %.",01 feb. 2026 - 08:00,https://diariosocialista.net/2026/02/01/ice-ha-multiplicado-por-diez-el-presupuesto-del-fbi-para-financiar-sus-cacerias-de-migrantes/
Miles desbordan el cerco policial en Turín en defensa del centro social Askatasuna,"Tras el desalojo del histórico espacio okupado, una manifestación masiva y disturbios desafían la militarización urbana, los controles masivos y la retórica criminalizadora de Meloni.",01 feb. 2026 - 08:00,https://diariosocialista.net/2026/02/01/miles-desbordan-el-cerco-policial-en-turin-en-defensa-del-centro-social-askatasuna/
Antifascistas identifican al agente de ICE que roció con gas pimienta a un manifestante detenido en Minneapolis,Un colectivo antifascista difundió el nombre y el rostro del agente filmado mientras agredía a un manifestante ya inmovilizado.,02 feb. 2026 - 08:00,https://diariosocialista.net/2026/02/02/antifascistas-identifican-al-agente-de-ice-que-rocio-con-gas-pimienta-a-un-manifestante-detenido-en-minneapolis/
Musk a Epstein: “¿Qué día será la fiesta más salvaje en tu isla?”,"Documentos del Departamento de Justicia incluyen emails de 2012 y 2013 entre ambos multimillonarios, donde se planificaba una posible visita a la isla de los horrores del pederasta.",02 feb. 2026 - 11:00,https://diariosocialista.net/2026/02/02/musk-a-epstein-que-dia-sera-la-fiesta-mas-salvaje-en-tu-isla/
Abascal ampara a su concejal de Xàbia investigado por acoso sexual: “Tú de ahí no te muevas”,"El edil José Marcos Pons revela el respaldo explícito del líder de Vox pese a la investigación interna que reconoció su ""comportamiento inapropiado"" hacia una asesora municipal.",31 ene. 2026 - 11:00,https://diariosocialista.net/2026/01/31/abascal-ampara-a-su-concejal-de-xabia-investigado-por-acoso-sexual-tu-de-ahi-no-te-muevas/
Vox tenía en nómina al líder de Revuelta con 262.000 euros anuales a través de una empresa pantalla,"Un contrato confidencial muestra que la formación de Abascal abonaba 21.881 euros mensuales a Jaime Hernández, meses antes de denunciarlo por estafa en donaciones para la DANA.",31 ene. 2026 - 11:00,https://diariosocialista.net/2026/01/31/vox-tenia-en-nomina-al-lider-de-revuelta-con-262-000-euros-anuales-a-traves-de-una-empresa-pantalla/
Dimite la concejala de Urbanismo de Alacant a la que “le tocó” una vivienda pública de lujo,Rocío Gómez (PP) y una directora general dejan sus cargos tras descubrirse “la suerte” que tuvieron en la primera promoción protegida en 20 años.,31 ene. 2026 - 11:00,https://diariosocialista.net/2026/01/31/dimite-la-concejala-de-urbanismo-de-alacant-a-la-que-le-toco-una-vivienda-publica-de-lujo/
La regularización migratoria del Gobierno español sigue excluyendo a más de 340.000 personas,"Cada regularizado aporta un beneficio fiscal de hasta 4.000 euros en un sistema que requiere 250.000 cotizantes anuales, y la burocracia requerida supone que cada funcionario gestione 1.250 expedientes en 65 días.",01 feb. 2026 - 08:00,https://diariosocialista.net/2026/02/01/la-regularizacion-migratoria-del-gobierno-espanol-sigue-excluyendo-a-mas-de-340-000-personas/
Mayoría absoluta de políticos profesionales en el Congreso,"En 2023, dos de cada tres diputados vivían exclusivamente de la política y solo el 5,2% había trabajado en el sector privado en los cinco años anteriores.",01 feb. 2026 - 08:00,https://diariosocialista.net/2026/02/01/mayoria-absoluta-de-politicos-profesionales-en-el-congreso/
Sílvia Orriols promete rebajas fiscales a la burguesía catalana,"Unos 200 empresarios y directivos acudieron a un encuentro privado organizado por Emilio Cuatrecasas con la líder de Aliança Catalana, que considera que “no hay mayorías para la independencia”.",02 feb. 2026 - 08:00,https://diariosocialista.net/2026/02/02/silvia-orriols-promete-rebajas-fiscales-a-la-burguesia-catalana/
"B’Tselem cifra en al menos 84 los presos palestinos ""muertos"" bajo custodia israelí en dos años","Un nuevo informe documenta torturas sistemáticas, hambre y abusos sexuales en campos de concentración israelíes, prácticas respaldadas por el sistema político, judicial y penitenciario de Israel.",22 ene. 2026 - 11:47,https://diariosocialista.net/2026/01/22/btselem-cifra-en-al-menos-84-los-presos-palestinos-muertos-bajo-custodia-israeli-en-dos-anos/
"Trump presenta su ""nueva Gaza"" en Davos","El asesor Jared Kushner anuncia un plan para convertir la Franja en un enclave económico y turístico, mientras el genocidio continúa y miles de palestinos siguen bajo los escombros.",23 ene. 2026 - 08:00,https://diariosocialista.net/2026/01/23/trump-presenta-su-nueva-gaza-en-davos/
